date,equity,cash,positions
2026-09-03,100000.00,100000.00,2
2026-09-04,99812.49,50896.44,2
2026-09-07,99908.75,50896.43,5
2026-09-08,99634.63,2770.57,3
2026-09-09,99123.03,36523.97,7
2026-09-10,98326.16,86.31,8
2026-09-14,99006.78,320.54,9
